,Comments_youtube,Label,COMMENTS_YOUTUBE,TOKENIZATION,STOP_REMOVAL,STEMMING
443,jangan ada lagi korban dari pendidik dan tenaga pendidik yang menjadi korban dari covid 19 seperti yang terjadi pada dokter dan tenaga kesehatan yang notabene sudah divaksin jadi saran yang benar baik pendidik dan tenaga pendidik serta peserta didik sudah divaksin semua itu baru benar saya adalah seorang pendidik ,negatif,jangan ada lagi korban dari pendidik dan tenaga pendidik yang menjadi korban dari covid 19 seperti yang terjadi pada dokter dan tenaga kesehatan yang notabene sudah divaksin jadi saran yang benar baik pendidik dan tenaga pendidik serta peserta didik sudah divaksin semua itu baru benar saya adalah seorang pendidik ,"['jangan', 'ada', 'lagi', 'korban', 'dari', 'pendidik', 'dan', 'tenaga', 'pendidik', 'yang', 'menjadi', 'korban', 'dari', 'covid', '19', 'seperti', 'yang', 'terjadi', 'pada', 'dokter', 'dan', 'tenaga', 'kesehatan', 'yang', 'notabene', 'sudah', 'divaksin', 'jadi', 'saran', 'yang', 'benar', 'baik', 'pendidik', 'dan', 'tenaga', 'pendidik', 'serta', 'peserta', 'didik', 'sudah', 'divaksin', 'semua', 'itu', 'baru', 'benar', 'saya', 'adalah', 'seorang', 'pendidik', '']",korban pendidik tenaga pendidik korban covid 19 dokter tenaga kesehatan notabene divaksin saran pendidik tenaga pendidik peserta didik divaksin pendidik ,korban didik tenaga didik korban covid 19 dokter tenaga sehat notabene vaksin saran didik tenaga didik serta didik vaksin didik
444,alhamdulillah,positif,alhamdulillah,['alhamdulillah'],alhamdulillah,alhamdulillah
445,pertanyaannya apakah pendidik dan tenaga pendidik juga mau dikorbankan seperti dokter dan tenaga kesehatan yang banyak meninggal no no no ,negatif,pertanyaannya apakah pendidik dan tenaga pendidik juga mau dikorbankan seperti dokter dan tenaga kesehatan yang banyak meninggal no no no ,"['pertanyaannya', 'apakah', 'pendidik', 'dan', 'tenaga', 'pendidik', 'juga', 'mau', 'dikorbankan', 'seperti', 'dokter', 'dan', 'tenaga', 'kesehatan', 'yang', 'banyak', 'meninggal', 'no', 'no', 'no', '']",pertanyaannya pendidik tenaga pendidik dikorbankan dokter tenaga kesehatan meninggal no no no ,tanya didik tenaga didik korban dokter tenaga sehat tinggal no no no
446,setuju pak menteri banyak anak ngeblenk kebanyakan hp banyak materi yg gak masuk karena cuman jawab dan jawab tanpa materi yg berarti ,positif,setuju pak menteri banyak anak ngeblenk kebanyakan hp banyak materi yg gak masuk karena cuman jawab dan jawab tanpa materi yg berarti ,"['setuju', 'pak', 'menteri', 'banyak', 'anak', 'ngeblenk', 'kebanyakan', 'hp', 'banyak', 'materi', 'yg', 'gak', 'masuk', 'karena', 'cuman', 'jawab', 'dan', 'jawab', 'tanpa', 'materi', 'yg', 'berarti', '']",setuju menteri anak ngeblenk kebanyakan hp materi yg gak masuk cuman materi yg ,tuju menteri anak ngeblenk banyak hp materi yg gak masuk cuman materi yg
447,gass offline,positif,gass offline,"['gass', 'offline']",gass offline,gass offline
448,2019 di umumkan korona anak masuk smp sma pada th ajaran 2019 2020 daring th ajaran 2020 2021 daring,positif,2019 di umumkan korona anak masuk smp sma pada th ajaran 2019 2020 daring th ajaran 2020 2021 daring,"['2019', 'di', 'umumkan', 'korona', 'anak', 'masuk', 'smp', 'sma', 'pada', 'th', 'ajaran', '2019', '2020', 'daring', 'th', 'ajaran', '2020', '2021', 'daring']",2019 umumkan korona anak masuk smp sma th ajaran 2019 2020 daring th ajaran 2020 2021 daring,2019 umum korona anak masuk smp sma th ajar 2019 2020 daring th ajar 2020 2021 daring
449,saya sudah bosan dengan covid bantuan tidak dpt anak terus beli kuota ,positif,saya sudah bosan dengan covid bantuan tidak dpt anak terus beli kuota ,"['saya', 'sudah', 'bosan', 'dengan', 'covid', 'bantuan', 'tidak', 'dpt', 'anak', 'terus', 'beli', 'kuota', '']",bosan covid bantuan dpt anak beli kuota ,bosan covid bantu dpt anak beli kuota
450,tetep dukung pembelajaran jarak jauh,negatif,tetep dukung pembelajaran jarak jauh,"['tetep', 'dukung', 'pembelajaran', 'jarak', 'jauh']",tetep dukung pembelajaran jarak,tetep dukung ajar jarak
451,setuju,positif,setuju,['setuju'],setuju,tuju
452,mantap ,positif,mantap ,"['mantap', '']",mantap ,mantap
453,setuju pak setidaknya sampe tahun depan jangan karena udh turun trs tiba2 tatap muka yang ada malah makin melonjak lagi kyk sebelum sebelumnya,positif,setuju pak setidaknya sampe tahun depan jangan karena udh turun trs tiba2 tatap muka yang ada malah makin melonjak lagi kyk sebelum sebelumnya,"['setuju', 'pak', 'setidaknya', 'sampe', 'tahun', 'depan', 'jangan', 'karena', 'udh', 'turun', 'trs', 'tiba2', 'tatap', 'muka', 'yang', 'ada', 'malah', 'makin', 'melonjak', 'lagi', 'kyk', 'sebelum', 'sebelumnya']",setuju sampe udh turun trs tiba2 tatap muka melonjak kyk,tuju sampe udh turun trs tiba2 tatap muka lonjak kyk
454, dita permatasari sangat setuju sekali tambah di berlakukanya ptm banyak yg berbondong bondong membeli seragam sklah tanpa mematuhi protokol kesehatan banyak yg tdak menjga jarak ,negatif, dita permatasari sangat setuju sekali tambah di berlakukanya ptm banyak yg berbondong bondong membeli seragam sklah tanpa mematuhi protokol kesehatan banyak yg tdak menjga jarak ,"['', 'sangat', 'setuju', 'sekali', 'tambah', 'di', 'berlakukanya', 'ptm', 'banyak', 'yg', 'berbondong', 'bondong', 'membeli', 'seragam', 'sklah', 'tanpa', 'mematuhi', 'protokol', 'kesehatan', 'banyak', 'yg', 'tdak', 'menjga', 'jarak', '']",setuju berlakukanya ptm yg berbondong bondong membeli seragam sklah mematuhi protokol kesehatan yg tdak menjga jarak ,dita permatasari tuju berlakukanya ptm yg bondong bondong beli seragam sklah patuh protokol sehat yg tdak menjga jarak
455,setuju,positif,setuju,['setuju'],setuju,tuju
456,setuju,positif,setuju,['setuju'],setuju,tuju
457,setuju,positif,setuju,['setuju'],setuju,tuju
458,iya pk klo dirumah trus anak malah maen game ,positif,iya pk klo dirumah trus anak malah maen game ,"['iya', 'pk', 'klo', 'dirumah', 'trus', 'anak', 'malah', 'maen', 'game', '']",iya pk klo dirumah trus anak maen game ,iya pk klo rumah trus anak maen game
459,pak jujur an aj ya pak selama 2 tahun ini saya jarang banget buka buku klo ada tugas sih dikerjain mah dikerjain cuma saya pasti buka nya bukan buku lks tapi google selama daring juga materi yang dikasih guru juga gak ada yang masuk,positif,pak jujur an aj ya pak selama 2 tahun ini saya jarang banget buka buku klo ada tugas sih dikerjain mah dikerjain cuma saya pasti buka nya bukan buku lks tapi google selama daring juga materi yang dikasih guru juga gak ada yang masuk,"['pak', 'jujur', 'an', 'aj', 'ya', 'pak', 'selama', '2', 'tahun', 'ini', 'saya', 'jarang', 'banget', 'buka', 'buku', 'klo', 'ada', 'tugas', 'sih', 'dikerjain', 'mah', 'dikerjain', 'cuma', 'saya', 'pasti', 'buka', 'nya', 'bukan', 'buku', 'lks', 'tapi', 'google', 'selama', 'daring', 'juga', 'materi', 'yang', 'dikasih', 'guru', 'juga', 'gak', 'ada', 'yang', 'masuk']",jujur an aj ya 2 jarang banget buka buku klo tugas sih dikerjain mah dikerjain buka nya buku lks google daring materi dikasih guru gak masuk,jujur an aj ya 2 jarang banget buka buku klo tugas sih dikerjain mah dikerjain buka nya buku lks google daring materi kasih guru gak masuk
460,cepet sekolah kang,positif,cepet sekolah kang,"['cepet', 'sekolah', 'kang']",cepet sekolah kang,cepet sekolah kang
461,harus belajar tatap muka bgmn siswa pintar tanpa tatap muka,positif,harus belajar tatap muka bgmn siswa pintar tanpa tatap muka,"['harus', 'belajar', 'tatap', 'muka', 'bgmn', 'siswa', 'pintar', 'tanpa', 'tatap', 'muka']",belajar tatap muka bgmn siswa pintar tatap muka,ajar tatap muka bgmn siswa pintar tatap muka
462,tatap muka itu pastikan infeksi nol spt di cina wong hrs nya lock down malah bikin aturan gali lubang tutup lobang kpn bisa selesai mas pemimpin,positif,tatap muka itu pastikan infeksi nol spt di cina wong hrs nya lock down malah bikin aturan gali lubang tutup lobang kpn bisa selesai mas pemimpin,"['tatap', 'muka', 'itu', 'pastikan', 'infeksi', 'nol', 'spt', 'di', 'cina', 'wong', 'hrs', 'nya', 'lock', 'down', 'malah', 'bikin', 'aturan', 'gali', 'lubang', 'tutup', 'lobang', 'kpn', 'bisa', 'selesai', 'mas', 'pemimpin']",tatap muka pastikan infeksi nol spt cina hrs nya lock down bikin aturan gali lubang tutup lobang kpn selesai mas pemimpin,tatap muka pasti infeksi nol spt cina hrs nya lock down bikin atur gali lubang tutup lobang kpn selesai mas pimpin
463,iyo agak dipacapek se lah pak alah paniang induak2 dek pjj ko mah ,positif,iyo agak dipacapek se lah pak alah paniang induak2 dek pjj ko mah ,"['iyo', 'agak', 'dipacapek', 'se', 'lah', 'pak', 'alah', 'paniang', 'induak2', 'dek', 'pjj', 'ko', 'mah', '']",iyo dipacapek alah paniang induak2 dek pjj ko mah ,iyo dipacapek alah paniang induak2 dek pjj ko mah
464,sya dan anak serumah sdh vaksin semua ayolah sekolah tatap muka saja,positif,sya dan anak serumah sdh vaksin semua ayolah sekolah tatap muka saja,"['sya', 'dan', 'anak', 'serumah', 'sdh', 'vaksin', 'semua', 'ayolah', 'sekolah', 'tatap', 'muka', 'saja']",sya anak serumah sdh vaksin ayolah sekolah tatap muka,sya anak rumah sdh vaksin ayo sekolah tatap muka
465,kurang seru tatap muka kalo masih setengah setengahan ga enak kalo daring daring aja tatap muka tatap muka aja ga usah setengah setengahlah,negatif,kurang seru tatap muka kalo masih setengah setengahan ga enak kalo daring daring aja tatap muka tatap muka aja ga usah setengah setengahlah,"['kurang', 'seru', 'tatap', 'muka', 'kalo', 'masih', 'setengah', 'setengahan', 'ga', 'enak', 'kalo', 'daring', 'daring', 'aja', 'tatap', 'muka', 'tatap', 'muka', 'aja', 'ga', 'usah', 'setengah', 'setengahlah']",seru tatap muka kalo setengahan ga enak kalo daring daring aja tatap muka tatap muka aja ga setengahlah,seru tatap muka kalo tengah ga enak kalo daring daring aja tatap muka tatap muka aja ga tengah
466,setuju banget pakk ,positif,setuju banget pakk ,"['setuju', 'banget', 'pakk', '']",setuju banget pakk ,tuju banget pakk
467,setuju segeraaa ,positif,setuju segeraaa ,"['setuju', 'segeraaa', '']",setuju segeraaa ,tuju segeraaa
468,ih blm mau sekolah aku astaga kalo sekolah kaya orang bego aku udah ga masuk materinya ga kenal temen sekolah nanti aku ngerasa bego sendiri ga tenang batin ini mana guru guru nya serem banget ,negatif,ih blm mau sekolah aku astaga kalo sekolah kaya orang bego aku udah ga masuk materinya ga kenal temen sekolah nanti aku ngerasa bego sendiri ga tenang batin ini mana guru guru nya serem banget ,"['ih', 'blm', 'mau', 'sekolah', 'aku', 'astaga', 'kalo', 'sekolah', 'kaya', 'orang', 'bego', 'aku', 'udah', 'ga', 'masuk', 'materinya', 'ga', 'kenal', 'temen', 'sekolah', 'nanti', 'aku', 'ngerasa', 'bego', 'sendiri', 'ga', 'tenang', 'batin', 'ini', 'mana', 'guru', 'guru', 'nya', 'serem', 'banget', '']",ih blm sekolah astaga kalo sekolah kaya orang bego udah ga masuk materinya ga kenal temen sekolah ngerasa bego ga tenang batin guru guru nya serem banget ,ih blm sekolah astaga kalo sekolah kaya orang bego udah ga masuk materi ga kenal temen sekolah ngerasa bego ga tenang batin guru guru nya rem banget
469,setuju dgn keputusan pak nadiem ptm di buka lagi sehat sellu pak,positif,setuju dgn keputusan pak nadiem ptm di buka lagi sehat sellu pak,"['setuju', 'dgn', 'keputusan', 'pak', 'nadiem', 'ptm', 'di', 'buka', 'lagi', 'sehat', 'sellu', 'pak']",setuju dgn keputusan nadiem ptm buka sehat sellu,tuju dgn putus nadiem ptm buka sehat sellu
470,heeh atuhlah gera tatap muka piraku kieu wae pusing atuhlah,positif,heeh atuhlah gera tatap muka piraku kieu wae pusing atuhlah,"['heeh', 'atuhlah', 'gera', 'tatap', 'muka', 'piraku', 'kieu', 'wae', 'pusing', 'atuhlah']",heeh atuhlah gera tatap muka piraku kieu wae pusing atuhlah,heeh atuhlah gera tatap muka piraku kieu wae pusing atuhlah
471,bismillah tatap muka,positif,bismillah tatap muka,"['bismillah', 'tatap', 'muka']",bismillah tatap muka,bismillah tatap muka
472,anak bisa belajar dg aman dan nyaman di rumah ini pembodohan vaksinasi meningkatkan mutasi,positif,anak bisa belajar dg aman dan nyaman di rumah ini pembodohan vaksinasi meningkatkan mutasi,"['anak', 'bisa', 'belajar', 'dg', 'aman', 'dan', 'nyaman', 'di', 'rumah', 'ini', 'pembodohan', 'vaksinasi', 'meningkatkan', 'mutasi']",anak belajar dg aman nyaman rumah pembodohan vaksinasi meningkatkan mutasi,anak ajar dg aman nyaman rumah bodoh vaksinasi tingkat mutasi
473,betul ank2 uda maon hp teruss lama2 mata ank2 pada rusak kaykmanalah generasi penerus ini ,positif,betul ank2 uda maon hp teruss lama2 mata ank2 pada rusak kaykmanalah generasi penerus ini ,"['betul', 'ank2', 'uda', 'maon', 'hp', 'teruss', 'lama2', 'mata', 'ank2', 'pada', 'rusak', 'kaykmanalah', 'generasi', 'penerus', 'ini', '']",ank2 uda maon hp teruss lama2 mata ank2 rusak kaykmanalah generasi penerus ,ank2 uda maon hp teruss lama2 mata ank2 rusak kaykmanalah generasi terus
474,sangat setuju untuk anak anak sekolah tatap muka ,positif,sangat setuju untuk anak anak sekolah tatap muka ,"['sangat', 'setuju', 'untuk', 'anak', 'anak', 'sekolah', 'tatap', 'muka', '']",setuju anak anak sekolah tatap muka ,tuju anak anak sekolah tatap muka
475,jangan di undur undur lagi pak ,positif,jangan di undur undur lagi pak ,"['jangan', 'di', 'undur', 'undur', 'lagi', 'pak', '']",undur undur ,undur undur
476,ya emang harus segera di lakukan kemaren kenapa di undur undur,positif,ya emang harus segera di lakukan kemaren kenapa di undur undur,"['ya', 'emang', 'harus', 'segera', 'di', 'lakukan', 'kemaren', 'kenapa', 'di', 'undur', 'undur']",ya emang lakukan kemaren undur undur,ya emang laku kemaren undur undur
477,katanya harus nunggu vaksinasi semuanya,negatif,katanya harus nunggu vaksinasi semuanya,"['katanya', 'harus', 'nunggu', 'vaksinasi', 'semuanya']",nunggu vaksinasi,nunggu vaksinasi
478,ujung2nya syarat divaksin dulu pemaksaan bngt knp slalu vaksin jd alasan ini itu ,negatif,ujung2nya syarat divaksin dulu pemaksaan bngt knp slalu vaksin jd alasan ini itu ,"['ujung2nya', 'syarat', 'divaksin', 'dulu', 'pemaksaan', 'bngt', 'knp', 'slalu', 'vaksin', 'jd', 'alasan', 'ini', 'itu', '']",ujung2nya syarat divaksin pemaksaan bngt knp slalu vaksin jd alasan ,ujung2nya syarat vaksin paksa bngt knp slalu vaksin jd alas
479,setuju maju terus pa nadim,positif,setuju maju terus pa nadim,"['setuju', 'maju', 'terus', 'pa', 'nadim']",setuju maju pa nadim,tuju maju pa nadim
480,medan setuju,positif,medan setuju,"['medan', 'setuju']",medan setuju,medan tuju
481,asal jangan cuma ngomong atau rencana karena sekarang ini sekolah sdh pelajaran ada yg di hilangkan atau tdk ada dalam pelajaran di tambah buku k13 yg bentuknya seperti rangkuman di tambah lagi tdk belajar di sekolah maaf semakin buta anak didik dgn pelajaran kami rakyat berharap kembali pelajaran ke ktsp jauh lebih baik dari k13,positif,asal jangan cuma ngomong atau rencana karena sekarang ini sekolah sdh pelajaran ada yg di hilangkan atau tdk ada dalam pelajaran di tambah buku k13 yg bentuknya seperti rangkuman di tambah lagi tdk belajar di sekolah maaf semakin buta anak didik dgn pelajaran kami rakyat berharap kembali pelajaran ke ktsp jauh lebih baik dari k13,"['asal', 'jangan', 'cuma', 'ngomong', 'atau', 'rencana', 'karena', 'sekarang', 'ini', 'sekolah', 'sdh', 'pelajaran', 'ada', 'yg', 'di', 'hilangkan', 'atau', 'tdk', 'ada', 'dalam', 'pelajaran', 'di', 'tambah', 'buku', 'k13', 'yg', 'bentuknya', 'seperti', 'rangkuman', 'di', 'tambah', 'lagi', 'tdk', 'belajar', 'di', 'sekolah', 'maaf', 'semakin', 'buta', 'anak', 'didik', 'dgn', 'pelajaran', 'kami', 'rakyat', 'berharap', 'kembali', 'pelajaran', 'ke', 'ktsp', 'jauh', 'lebih', 'baik', 'dari', 'k13']",ngomong rencana sekolah sdh pelajaran yg hilangkan tdk pelajaran buku k13 yg bentuknya rangkuman tdk belajar sekolah maaf buta anak didik dgn pelajaran rakyat berharap pelajaran ktsp k13,ngomong rencana sekolah sdh ajar yg hilang tdk ajar buku k13 yg bentuk rangkum tdk ajar sekolah maaf buta anak didik dgn ajar rakyat harap ajar ktsp k13
482,kalau tatap muka buat apa laptop merah putih,positif,kalau tatap muka buat apa laptop merah putih,"['kalau', 'tatap', 'muka', 'buat', 'apa', 'laptop', 'merah', 'putih']",tatap muka laptop merah putih,tatap muka laptop merah putih
483,wes sekarepmu gw pilih pjj ,negatif,wes sekarepmu gw pilih pjj ,"['wes', 'sekarepmu', 'gw', 'pilih', 'pjj', '']",wes sekarepmu gw pilih pjj ,wes sekarepmu gw pilih pjj
484,dih gini loh lebih baik mereka gak kemajuan atau gimana itu dari pada korona malah ujung ujungnya naik lagi ntar satu kena semuanya kena ntar ada yang ketular semuanya kena kan jadi repot makanya mending gak usah kan bisa di pikir dengan baik jangan malah ngotot jelas jelas masih korona mending tunggu korona selesai dulu kalo ngotot kek gini ntar ujung ujungnya kalo ada yang kena korona pun ya selesai dah tamat hidupnya juga dengan vaksin pun gak menjamin kalo gak bakal bisa dapet korona jadi dari situ pun jawaban nya dah ketemu jadi intinya kalo masih korona jangan sekolah tatap muka mau begimana pun tetep aja jangan ,positif,dih gini loh lebih baik mereka gak kemajuan atau gimana itu dari pada korona malah ujung ujungnya naik lagi ntar satu kena semuanya kena ntar ada yang ketular semuanya kena kan jadi repot makanya mending gak usah kan bisa di pikir dengan baik jangan malah ngotot jelas jelas masih korona mending tunggu korona selesai dulu kalo ngotot kek gini ntar ujung ujungnya kalo ada yang kena korona pun ya selesai dah tamat hidupnya juga dengan vaksin pun gak menjamin kalo gak bakal bisa dapet korona jadi dari situ pun jawaban nya dah ketemu jadi intinya kalo masih korona jangan sekolah tatap muka mau begimana pun tetep aja jangan ,"['dih', 'gini', 'loh', 'lebih', 'baik', 'mereka', 'gak', 'kemajuan', 'atau', 'gimana', 'itu', 'dari', 'pada', 'korona', 'malah', 'ujung', 'ujungnya', 'naik', 'lagi', 'ntar', 'satu', 'kena', 'semuanya', 'kena', 'ntar', 'ada', 'yang', 'ketular', 'semuanya', 'kena', 'kan', 'jadi', 'repot', 'makanya', 'mending', 'gak', 'usah', 'kan', 'bisa', 'di', 'pikir', 'dengan', 'baik', 'jangan', 'malah', 'ngotot', 'jelas', 'jelas', 'masih', 'korona', 'mending', 'tunggu', 'korona', 'selesai', 'dulu', 'kalo', 'ngotot', 'kek', 'gini', 'ntar', 'ujung', 'ujungnya', 'kalo', 'ada', 'yang', 'kena', 'korona', 'pun', 'ya', 'selesai', 'dah', 'tamat', 'hidupnya', 'juga', 'dengan', 'vaksin', 'pun', 'gak', 'menjamin', 'kalo', 'gak', 'bakal', 'bisa', 'dapet', 'korona', 'jadi', 'dari', 'situ', 'pun', 'jawaban', 'nya', 'dah', 'ketemu', 'jadi', 'intinya', 'kalo', 'masih', 'korona', 'jangan', 'sekolah', 'tatap', 'muka', 'mau', 'begimana', 'pun', 'tetep', 'aja', 'jangan', '']",dih gini loh gak kemajuan gimana korona ujung ujungnya ntar kena kena ntar ketular kena repot mending gak pikir ngotot korona mending tunggu korona selesai kalo ngotot kek gini ntar ujung ujungnya kalo kena korona ya selesai dah tamat hidupnya vaksin gak menjamin kalo gak dapet korona situ nya dah ketemu intinya kalo korona sekolah tatap muka begimana tetep aja ,dih gin loh gak maju gimana korona ujung ujung ntar kena kena ntar tular kena repot mending gak pikir ngotot korona mending tunggu korona selesai kalo ngotot kek gin ntar ujung ujung kalo kena korona ya selesai dah tamat hidup vaksin gak jamin kalo gak dapet korona situ nya dah ketemu inti kalo korona sekolah tatap muka begimana tetep aja
485,tidak setuju,positif,tidak setuju,"['tidak', 'setuju']",setuju,tuju
486,pak tolong di daerah jakarta utara di buka juga pak saya stres belajar pjj begini ngerti engga stres iya masa saya zoom setiap hari dari jam 7 3 sore kemaren saya di kasih tugas jam 12 malem dan dl nya jam 7 pagi pak tlong segera di buka pak sekolah stres saya pak nilai saya sekarang juga jadi ancur parah belom lagi kondisi rumah yg kurang mendukung ,positif,pak tolong di daerah jakarta utara di buka juga pak saya stres belajar pjj begini ngerti engga stres iya masa saya zoom setiap hari dari jam 7 3 sore kemaren saya di kasih tugas jam 12 malem dan dl nya jam 7 pagi pak tlong segera di buka pak sekolah stres saya pak nilai saya sekarang juga jadi ancur parah belom lagi kondisi rumah yg kurang mendukung ,"['pak', 'tolong', 'di', 'daerah', 'jakarta', 'utara', 'di', 'buka', 'juga', 'pak', 'saya', 'stres', 'belajar', 'pjj', 'begini', 'ngerti', 'engga', 'stres', 'iya', 'masa', 'saya', 'zoom', 'setiap', 'hari', 'dari', 'jam', '7', '3', 'sore', 'kemaren', 'saya', 'di', 'kasih', 'tugas', 'jam', '12', 'malem', 'dan', 'dl', 'nya', 'jam', '7', 'pagi', 'pak', 'tlong', 'segera', 'di', 'buka', 'pak', 'sekolah', 'stres', 'saya', 'pak', 'nilai', 'saya', 'sekarang', 'juga', 'jadi', 'ancur', 'parah', 'belom', 'lagi', 'kondisi', 'rumah', 'yg', 'kurang', 'mendukung', '']",tolong daerah jakarta utara buka stres belajar pjj ngerti engga stres iya zoom jam 7 3 sore kemaren kasih tugas jam 12 malem dl nya jam 7 pagi tlong buka sekolah stres nilai ancur parah belom kondisi rumah yg mendukung ,tolong daerah jakarta utara buka stres ajar pjj ngerti engga stres iya zoom jam 7 3 sore kemaren kasih tugas jam 12 malem dl nya jam 7 pagi tlong buka sekolah stres nilai ancur parah bom kondisi rumah yg dukung
487,banyak yg mendukung apresiasi pak nadiem utk segera ptm mengingat anak2 pelajar sangat membutuhkan sosialisasi belajar yg sesuai dg pembelajaran yg meningkatkan mutu kwalitas kwantitas ke dpn kami bangsa indonesia mendukung ptm segera di laksanakan krn anak2 bangsa indonesia semua pintar 2,positif,banyak yg mendukung apresiasi pak nadiem utk segera ptm mengingat anak2 pelajar sangat membutuhkan sosialisasi belajar yg sesuai dg pembelajaran yg meningkatkan mutu kwalitas kwantitas ke dpn kami bangsa indonesia mendukung ptm segera di laksanakan krn anak2 bangsa indonesia semua pintar 2,"['banyak', 'yg', 'mendukung', 'apresiasi', 'pak', 'nadiem', 'utk', 'segera', 'ptm', 'mengingat', 'anak2', 'pelajar', 'sangat', 'membutuhkan', 'sosialisasi', 'belajar', 'yg', 'sesuai', 'dg', 'pembelajaran', 'yg', 'meningkatkan', 'mutu', 'kwalitas', 'kwantitas', 'ke', 'dpn', 'kami', 'bangsa', 'indonesia', 'mendukung', 'ptm', 'segera', 'di', 'laksanakan', 'krn', 'anak2', 'bangsa', 'indonesia', 'semua', 'pintar', '2']",yg mendukung apresiasi nadiem utk ptm anak2 pelajar membutuhkan sosialisasi belajar yg sesuai dg pembelajaran yg meningkatkan mutu kwalitas kwantitas dpn bangsa indonesia mendukung ptm laksanakan krn anak2 bangsa indonesia pintar 2,yg dukung apresiasi nadiem utk ptm anak2 ajar butuh sosialisasi ajar yg sesuai dg ajar yg tingkat mutu kwalitas kwantitas dpn bangsa indonesia dukung ptm laksana krn anak2 bangsa indonesia pintar 2
488,ptm sangat diperlukan siswa pjj sangat tdk efektif cerdaskan anak bangsa hidup berdampingan dg covid sbgmn penyakit lainnya bismillah ,positif,ptm sangat diperlukan siswa pjj sangat tdk efektif cerdaskan anak bangsa hidup berdampingan dg covid sbgmn penyakit lainnya bismillah ,"['ptm', 'sangat', 'diperlukan', 'siswa', 'pjj', 'sangat', 'tdk', 'efektif', 'cerdaskan', 'anak', 'bangsa', 'hidup', 'berdampingan', 'dg', 'covid', 'sbgmn', 'penyakit', 'lainnya', 'bismillah', '']",ptm siswa pjj tdk efektif cerdaskan anak bangsa hidup berdampingan dg covid sbgmn penyakit bismillah ,ptm siswa pjj tdk efektif cerdas anak bangsa hidup damping dg covid sbgmn sakit bismillah
489,y harus segera pembelajaran aktif kasihan anak anak masa depan,positif,y harus segera pembelajaran aktif kasihan anak anak masa depan,"['y', 'harus', 'segera', 'pembelajaran', 'aktif', 'kasihan', 'anak', 'anak', 'masa', 'depan']",y pembelajaran aktif kasihan anak anak,y ajar aktif kasihan anak anak
490,jangan lupa siap siap teman teman 1 mempersiapkan baju seragam 2 mempersiapkan kaos kasi dan sepatu 3 siapkan masker dan antis ,positif,jangan lupa siap siap teman teman 1 mempersiapkan baju seragam 2 mempersiapkan kaos kasi dan sepatu 3 siapkan masker dan antis ,"['jangan', 'lupa', 'siap', 'siap', 'teman', 'teman', '1', 'mempersiapkan', 'baju', 'seragam', '2', 'mempersiapkan', 'kaos', 'kasi', 'dan', 'sepatu', '3', 'siapkan', 'masker', 'dan', 'antis', '']",lupa teman teman 1 baju seragam 2 kaos kasi sepatu 3 siapkan masker antis ,lupa teman teman 1 baju seragam 2 kaos kasi sepatu 3 siap masker antis
491,faktanya siswa udah pada dipaksa divaksin bos lain dimulut lain fakta di lapangan omong kosong padahal vaksin vaksin yang beredar itu tidak pernah di tes pada manusia usia dibawah 18 tahun ,negatif,faktanya siswa udah pada dipaksa divaksin bos lain dimulut lain fakta di lapangan omong kosong padahal vaksin vaksin yang beredar itu tidak pernah di tes pada manusia usia dibawah 18 tahun ,"['faktanya', 'siswa', 'udah', 'pada', 'dipaksa', 'divaksin', 'bos', 'lain', 'dimulut', 'lain', 'fakta', 'di', 'lapangan', 'omong', 'kosong', 'padahal', 'vaksin', 'vaksin', 'yang', 'beredar', 'itu', 'tidak', 'pernah', 'di', 'tes', 'pada', 'manusia', 'usia', 'dibawah', '18', 'tahun', '']",faktanya siswa udah dipaksa divaksin bos dimulut fakta lapangan omong kosong vaksin vaksin beredar tes manusia usia dibawah 18 ,fakta siswa udah paksa vaksin bos mulut fakta lapang omong kosong vaksin vaksin edar tes manusia usia bawah 18
492,pak nadiem aku pengen kuliah offline ,positif,pak nadiem aku pengen kuliah offline ,"['pak', 'nadiem', 'aku', 'pengen', 'kuliah', 'offline', '']",nadiem pengen kuliah offline ,nadiem ken kuliah offline
493,knp stres ya kuliah dirumah ,positif,knp stres ya kuliah dirumah ,"['knp', 'stres', 'ya', 'kuliah', 'dirumah', '']",knp stres ya kuliah dirumah ,knp stres ya kuliah rumah
